PLAYER_ID,PLAYER_NAME,MIN,games_participation_%
202722,Davis Bertans,25.7,79.16666666666667
1630166,Deni Avdija,23.3,75.0
1629726,Garrison Mathews,16.2,88.88888888888889
1629067,Isaac Bonga,10.8,55.55555555555556
202397,Ish Smith,21.0,61.111111111111114
1629010,Jerome Robinson,17.9,23.61111111111111
203526,Raul Neto,21.9,88.88888888888889
201577,Robin Lopez,19.1,98.61111111111111
1629060,Rui Hachimura,31.5,79.16666666666667
201566,Russell Westbrook,36.4,90.27777777777777
1628418,Thomas Bryant,27.1,13.88888888888889
1628993,Alize Johnson,10.5,25.0
203460,Andre Roberson,12.6,6.944444444444445
201933,Blake Griffin,25.8,63.888888888888886
1628971,Bruce Brown,22.3,90.27777777777777
1629185,Chris Chiozza,10.6,30.555555555555557
201599,DeAndre Jordan,21.9,79.16666666666667
202697,Iman Shumpert,5.5,2.7777777777777777
201935,James Harden,36.6,61.111111111111114
201145,Jeff Green,27.0,94.44444444444444
203925,Joe Harris,31.0,95.83333333333333
201142,Kevin Durant,33.1,48.611111111111114
202681,Kyrie Irving,34.9,75.0
200746,LaMarcus Aldridge,25.9,36.111111111111114
1629013,Landry Shamet,23.0,84.72222222222223
1628455,Mike James,18.2,18.055555555555557
1629651,Nic Claxton,18.6,44.44444444444444
203943,Noah Vonleh,2.7,5.555555555555555
1629617,Reggie Perry,8.1,36.111111111111114
203915,Spencer Dinwiddie,21.4,4.166666666666667
1627789,Timothe Luwawu-Cabarrot,18.1,80.55555555555556
204020,Tyler Johnson,17.5,54.166666666666664
1629599,Amir Coffey,9.0,61.111111111111114
1630187,Daniel Oturu,5.4,41.666666666666664
202326,DeMarcus Cousins,17.4,56.94444444444444
1627826,Ivica Zubac,22.3,100.0
1630206,Jay Scrubb,21.0,5.555555555555555
202695,Kawhi Leonard,34.1,72.22222222222223
1628379,Luke Kennard,19.6,87.5
1630238,Malik Fitts,3.6,4.166666666666667
202694,Marcus Morris Sr.,26.3,79.16666666666667
201587,Nicolas Batum,27.4,93.05555555555556
201976,Patrick Beverley,22.5,51.388888888888886
202335,Patrick Patterson,15.3,52.77777777777778
202331,Paul George,33.7,75.0
200765,Rajon Rondo,17.1,62.5
202704,Reggie Jackson,23.0,93.05555555555556
201586,Serge Ibaka,23.3,56.94444444444444
1629611,Terance Mann,18.9,93.05555555555556
1627812,Yogi Ferrell,13.7,13.88888888888889
2760,Anderson Varejao,7.2,6.944444444444445
1630271,Brodric Thomas,12.5,44.44444444444444
1626224,Cedi Osman,25.6,81.94444444444444
1629012,Collin Sexton,35.3,83.33333333333333
1628422,Damyean Dotson,19.7,63.888888888888886
1629636,Darius Garland,33.1,75.0
1629731,Dean Wade,19.2,87.5
1629685,Dylan Windler,16.5,43.05555555555556
1630171,Isaac Okoro,32.4,93.05555555555556
1628392,Isaiah Hartenstein,12.1,63.888888888888886
1628386,Jarrett Allen,29.6,87.5
1629725,Jeremiah Martin,8.4,12.5
201567,Kevin Love,24.9,34.72222222222222
1630205,Lamar Stevens,12.5,55.55555555555556
1626204,Larry Nance Jr.,31.2,48.611111111111114
1629716,Marques Bolden,4.8,8.333333333333334
203521,Matthew Dellavedova,17.2,18.055555555555557
1629662,Mfiondu Kabengele,7.2,54.166666666666664
1626188,Quinn Cook,6.8,31.944444444444443
1627752,Taurean Prince,22.1,56.94444444444444
1627748,Thon Maker,9.6,11.11111111111111
2738,Andre Iguodala,21.3,87.5
1628389,Bam Adebayo,33.5,88.88888888888889
203473,Dewayne Dedmon,13.2,22.22222222222222
1629130,Duncan Robinson,31.4,100.0
1629216,Gabe Vincent,13.1,69.44444444444444
201609,Goran Dragic,26.7,69.44444444444444
202710,Jimmy Butler,33.6,72.22222222222223
1629644,KZ Okpala,12.1,51.388888888888886
1629134,Kendrick Nunn,29.5,77.77777777777777
1629622,Max Strus,13.0,54.166666666666664
203086,Meyers Leonard,9.8,4.166666666666667
202357,Nemanja Bjelica,16.1,51.388888888888886
1630173,Precious Achiuwa,12.1,84.72222222222223
2772,Trevor Ariza,28.0,41.666666666666664
1629639,Tyler Herro,30.3,75.0
2617,Udonis Haslem,2.7,1.3888888888888888
203506,Victor Oladipo,32.7,45.833333333333336
1629014,Anfernee Simons,17.3,88.88888888888889
1629604,CJ Elleby,6.4,41.666666666666664
203468,CJ McCollum,34.0,65.27777777777777
2546,Carmelo Anthony,24.5,95.83333333333333
203081,Damian Lillard,35.8,93.05555555555556
1627884,Derrick Jones Jr.,22.7,80.55555555555556
202683,Enes Kanter,24.4,100.0
1628385,Harry Giles III,9.2,52.77777777777778
203994,Jusuf Nurkic,23.8,51.388888888888886
1629833,Keljin Blevins,4.4,23.61111111111111
1629642,Nassir Little,13.3,66.66666666666667
1626181,Norman Powell,32.0,95.83333333333333
203496,Robert Covington,32.0,97.22222222222223
1626178,Rondae Hollis-Jefferson,9.8,15.277777777777779
1628388,T.J. Leaf,5.1,9.722222222222221
1630162,Anthony Edwards,32.1,100.0
1630204,Ashton Hagans,2.0,2.7777777777777777
1626156,D'Angelo Russell,28.5,58.333333333333336
202334,Ed Davis,13.0,31.944444444444443
1630183,Jaden McDaniels,24.0,87.5
1627774,Jake Layman,13.9,62.5
1629020,Jarred Vanderbilt,17.8,88.88888888888889
1629633,Jarrett Culver,14.7,47.22222222222222
1629669,Jaylen Nowell,18.1,58.333333333333336
1629162,Jordan McLaughlin,18.4,70.83333333333333
1629006,Josh Okogie,20.3,81.94444444444444
1627823,Juancho Hernangomez,17.3,72.22222222222223
1626157,Karl-Anthony Towns,33.8,69.44444444444444
1627736,Malik Beasley,32.8,51.388888888888886
1629675,Naz Reid,19.2,97.22222222222223
201937,Ricky Rubio,26.1,94.44444444444444
1630237,Anthony Lamb,17.3,33.333333333333336
1629717,Armoni Brooks,26.0,27.77777777777778
202340,Avery Bradley,22.3,37.5
203998,Bruno Caboclo,6.1,8.333333333333334
1628419,Cameron Oliver,21.8,5.555555555555555
1629244,Cameron Reynolds,8.1,6.944444444444445
1626174,Christian Wood,32.3,56.94444444444444
201571,D.J. Augustin,19.8,79.16666666666667
1628391,D.J. Wilson,12.4,48.611111111111114
203957,Dante Exum,19.4,8.333333333333334
1627863,Danuel House Jr.,25.9,50.0
1628021,David Nwaba,22.6,41.666666666666664
201569,Eric Gordon,29.2,37.5
1630256,Jae'Sean Tate,29.2,97.22222222222223
202322,John Wall,32.2,55.55555555555556
1628383,Justin Patton,19.0,18.055555555555557
203482,Kelly Olynyk,28.5,97.22222222222223
1630231,Kenyon Martin Jr.,23.7,62.5
1629645,Kevin Porter Jr.,32.1,36.111111111111114
1629017,Khyri Thomas,30.6,6.944444444444445
1629034,Ray Spalding,9.4,2.7777777777777777
1628425,Sterling Brown,24.1,70.83333333333333
201229,Anthony Tolliver,9.0,15.277777777777779
1627732,Ben Simmons,32.4,80.55555555555556
1629751,Dakota Mathias,15.4,11.11111111111111
201980,Danny Green,28.0,95.83333333333333
2730,Dwight Howard,17.3,95.83333333333333
1627788,Furkan Korkmaz,19.3,76.38888888888889
1629109,Gary Clark,16.8,54.166666666666664
201588,George Hill,22.4,41.666666666666664
1630198,Isaiah Joe,9.3,56.94444444444444
203954,Joel Embiid,31.1,70.83333333333333
1630222,Mason Jones,10.5,44.44444444444444
1629680,Matisse Thybulle,20.0,90.27777777777777
203118,Mike Scott,16.7,70.83333333333333
1630194,Paul Reed,6.8,36.111111111111114
1629730,Rayjon Tucker,4.9,19.444444444444443
203552,Seth Curry,28.7,79.16666666666667
1629003,Shake Milton,23.2,87.5
1628390,Terrance Ferguson,3.8,18.055555555555557
202699,Tobias Harris,32.5,86.11111111111111
1630178,Tyrese Maxey,15.3,84.72222222222223
1629738,Vincent Poirier,3.9,13.88888888888889
203382,Aron Baynes,18.5,73.61111111111111
1628449,Chris Boucher,24.2,83.33333333333333
1627761,DeAndre' Bembry,19.1,70.83333333333333
1627832,Fred VanVleet,36.5,72.22222222222223
1630273,Freddie Gillespie,19.6,27.77777777777778
1629018,Gary Trent Jr.,31.1,80.55555555555556
1627740,Henry Ellenson,19.2,2.7777777777777777
1630223,Jalen Harris,13.2,18.055555555555557
203920,Khem Birch,22.8,93.05555555555556
200768,Kyle Lowry,34.8,63.888888888888886
1630201,Malachi Flynn,19.7,65.27777777777777
1628384,OG Anunoby,33.3,59.72222222222222
1627783,Pascal Siakam,35.8,77.77777777777777
1627775,Patrick McCaw,6.7,6.944444444444445
1628778,Paul Watson,11.0,37.5
203918,Rodney Hood,17.1,76.38888888888889
1626169,Stanley Johnson,16.5,84.72222222222223
1629139,Yuta Watanabe,14.5,69.44444444444444
1626253,Axel Toupane,7.7,11.11111111111111
1626171,Bobby Portis,20.8,91.66666666666667
201572,Brook Lopez,27.2,97.22222222222223
1627854,Bryn Forbes,19.3,97.22222222222223
1628978,Donte DiVincenzo,27.5,91.66666666666667
1629091,Elijah Bryant,31.6,1.3888888888888888
203507,Giannis Antetokounmpo,33.0,84.72222222222223
1629121,Jaylen Adams,2.6,9.722222222222221
201952,Jeff Teague,17.3,76.38888888888889
1629670,Jordan Nwora,9.1,41.666666666666664
201950,Jrue Holiday,32.3,81.94444444444444
1628382,Justin Jackson,17.0,47.22222222222222
203114,Khris Middleton,33.4,94.44444444444444
1629603,Mamadi Diakite,10.1,19.444444444444443
200782,P.J. Tucker,26.1,72.22222222222223
1626192,Pat Connaughton,22.8,95.83333333333333
1629066,Rodions Kurucs,5.9,29.166666666666668
1630241,Sam Merrill,7.8,41.666666666666664
203648,Thanasis Antetokounmpo,9.7,79.16666666666667
202687,Bismack Biyombo,20.4,91.66666666666667
202954,Brad Wanamaker,17.3,84.72222222222223
1628997,Caleb Martin,15.4,73.61111111111111
1628998,Cody Martin,16.3,72.22222222222223
203469,Cody Zeller,20.9,66.66666666666667
1628984,Devonte' Graham,30.2,76.38888888888889
202330,Gordon Hayward,34.0,61.111111111111114
1630203,Grant Riller,3.9,9.722222222222221
1629667,Jalen McDaniels,19.2,65.27777777777777
1630163,LaMelo Ball,28.8,70.83333333333333
1628370,Malik Monk,20.9,58.333333333333336
1628970,Miles Bridges,29.3,91.66666666666667
1630268,Nate Darling,3.7,9.722222222222221
1630208,Nick Richards,3.5,25.0
1629023,P.J. Washington,30.5,88.88888888888889
1626179,Terry Rozier,34.5,95.83333333333333
1630176,Vernon Carey Jr.,6.0,26.38888888888889
1626246,Boban Marjanovic,8.2,45.833333333333336
1627827,Dorian Finney-Smith,32.0,83.33333333333333
203939,Dwight Powell,16.6,80.55555555555556
200755,JJ Redick,16.4,61.111111111111114
1628973,Jalen Brunson,25.0,94.44444444444444
1630182,Josh Green,11.4,54.166666666666664
1626196,Josh Richardson,30.3,81.94444444444444
204001,Kristaps Porzingis,30.9,59.72222222222222
1629029,Luka Doncic,34.3,91.66666666666667
1628467,Maxi Kleber,26.8,69.44444444444444
1630207,Nate Hinton,4.4,29.166666666666668
1629740,Nicolo Melli,12.6,62.5
203501,Tim Hardaway Jr.,28.4,97.22222222222223
203504,Trey Burke,14.7,86.11111111111111
1630189,Tyler Bey,3.9,25.0
1630179,Tyrell Terry,5.1,15.277777777777779
1626161,Willie Cauley-Stein,17.1,73.61111111111111
203992,Bogdan Bogdanovic,29.7,61.111111111111114
1629164,Brandon Goodwin,13.2,65.27777777777777
1628981,Bruno Fernando,6.8,45.833333333333336
1629629,Cam Reddish,28.9,36.111111111111114
203991,Clint Capela,30.1,87.5
201568,Danilo Gallinari,24.0,70.83333333333333
1629631,De'Andre Hunter,29.5,31.944444444444443
